customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,payment_method,churn
CUST-000000,6,53.72,363.03,Two year,No,Yes,Mailed check,0
CUST-000001,55,51.26,3011.85,One year,Fiber optic,No,Mailed check,0
CUST-000002,47,88.07,4659.01,Month-to-month,DSL,No,Credit card,0
CUST-000003,31,89.57,2848.95,Month-to-month,Fiber optic,No,Mailed check,1
CUST-000004,31,48.95,1573.72,Month-to-month,DSL,Yes,Electronic check,0
CUST-000005,61,52.91,3105.42,Two year,Fiber optic,Yes,Bank transfer,0
CUST-000006,6,81.23,548.18,One year,Fiber optic,No,Credit card,0
CUST-000007,50,40.17,1938.72,Month-to-month,Fiber optic,No,Electronic check,1
CUST-000008,14,52.68,795.43,Month-to-month,Fiber optic,No,Bank transfer,0
CUST-000009,6,67.69,465.74,Two year,Fiber optic,No,Mailed check,0
CUST-000010,37,94.88,3672.57,Month-to-month,DSL,No,Mailed check,1
CUST-000011,70,46.86,3178.83,One year,DSL,No,Mailed check,0
CUST-000012,52,15.0,788.34,One year,Fiber optic,Yes,Electronic check,0
CUST-000013,54,15.0,785.67,Month-to-month,No,Yes,Mailed check,0
CUST-000014,51,27.22,1428.59,Month-to-month,DSL,No,Mailed check,0
CUST-000015,56,25.6,1340.37,Month-to-month,DSL,No,Credit card,0
CUST-000016,36,60.36,2250.31,Month-to-month,DSL,No,Electronic check,0
CUST-000017,9,29.33,289.25,One year,Fiber optic,No,Credit card,0
CUST-000018,60,43.92,2703.2,Two year,DSL,Yes,Electronic check,0
CUST-000019,32,41.78,1264.76,Month-to-month,Fiber optic,No,Mailed check,0
CUST-000020,36,51.78,1978.76,Month-to-month,DSL,Yes,Mailed check,0
CUST-000021,26,104.68,2784.01,Month-to-month,Fiber optic,No,Mailed check,1
CUST-000022,13,84.86,1200.91,Month-to-month,DSL,Yes,Credit card,1
CUST-000023,66,65.48,3977.18,One year,Fiber optic,No,Credit card,0
CUST-000024,56,51.17,2735.41,One year,DSL,No,Bank transfer,0
CUST-000025,46,52.0,2396.46,One year,Fiber optic,No,Bank transfer,0
CUST-000026,28,74.83,2319.39,Month-to-month,No,Yes,Bank transfer,0
CUST-000027,59,82.53,5082.04,One year,DSL,Yes,Credit card,0
CUST-000028,39,37.77,1520.67,Month-to-month,No,No,Credit card,0
